# id,llegada,rafaga
# dataset extendido: 50 procesos sinteticos, semilla=20260729
# llegada acumulada con gaps 0-3, rafaga uniforme 1-15
1,1,11
2,2,10
3,4,4
4,4,12
5,7,4
6,10,15
7,13,2
8,16,6
9,19,1
10,21,12
11,21,14
12,24,13
13,24,15
14,26,6
15,29,15
16,30,15
17,33,8
18,36,3
19,37,1
20,39,11
21,40,13
22,42,9
23,42,7
24,45,3
25,47,15
26,50,13
27,53,5
28,53,14
29,55,13
30,56,15
31,57,15
32,58,6
33,58,6
34,60,13
35,62,8
36,63,4
37,65,7
38,68,14
39,71,12
40,72,11
41,73,9
42,76,1
43,77,2
44,78,10
45,81,14
46,81,13
47,84,1
48,84,11
49,85,9
50,85,11
