# Log de eventos. Tiempo relativo al inicio de la corrida.
# tipo: P=produccion C=consumo | pos=posicion del buffer
# cuenta: ocupacion observada antes -> despues de la operacion
#
#      ms  hilo  tipo        id  valor  pos   cuenta  integro
   0.3134   P1    PROD   2000000      1    0     0->1    -
   0.3135   C0    CONS   2000000      1    0     1->0    si
   0.3135   P1    PROD   2000001      2    1     0->1    -
   0.3136   P1    PROD   2000002      3    2     1->2    -
   0.3137   P1    PROD   2000003      4    3     2->3    -
   0.3138   P1    PROD   2000004      5    4     3->4    -
   0.3138   P1    PROD   2000005      6    0     4->5    -
   0.3139   C0    CONS   2000001      2    1     4->3    si
   0.3140   C0    CONS   2000002      3    2     3->4    si
   0.3140   C0    CONS   2000003      4    3     4->3    si
   0.3141   C0    CONS   2000004      5    4     3->2    si
   0.3141   C0    CONS   2000005      6    0     2->1    si
   0.3142   C0    CONS   2000001      2    1     1->0    si
   0.3160   P1    PROD   2000006      7    1     0->1    -
   0.3161   P1    PROD   2000007      8    2     1->2    -
   0.3162   P1    PROD   2000008      9    3     2->3    -
   0.3162   P1    PROD   2000009     10    4     3->4    -
   0.3163   C0    CONS   2000007      8    2     3->3    si
   0.3164   P1    PROD   2000010     11    0     3->4    -
   0.3164   C0    CONS   2000008      9    3     3->2    si
   0.3165   C0    CONS   2000009     10    4     2->3    si
   0.3166   P1    PROD   2000011     12    1     3->4    -
   0.3167   P1    PROD   2000012     13    2     4->5    -
   0.3167   C0    CONS   2000010     11    0     3->3    si
   0.3168   C0    CONS   2000011     12    1     5->4    si
   0.3169   C0    CONS   2000012     13    2     4->3    si
   0.3169   C0    CONS   2000008      9    3     3->2    si
   0.3169   C0    CONS   2000009     10    4     2->1    si
   0.3170   C0    CONS   2000010     11    0     1->0    si
   0.3173   P1    PROD   2000013     14    3     0->1    -
   0.3174   P1    PROD   2000014     15    4     1->2    -
   0.3174   P1    PROD   2000015     16    0     2->3    -
   0.3176   C0    CONS   2000011     12    1     2->2    si
   0.3176   P1    PROD   2000016     17    1     2->3    -
   0.3177   P1    PROD   2000017     18    2     3->4    -
   0.3177   C0    CONS   2000012     13    2     2->2    si
   0.3179   P1    PROD   2000018     19    3     4->5    -
   0.3179   C0    CONS   2000013     14    3     4->3    si
   0.3180   P1    PROD   2000019     20    4     3->4    -
   0.3180   C0    CONS   2000014     15    4     3->2    si
   0.3181   P1    PROD   2000020     21    0     2->3    -
   0.3182   C0    CONS   2000015     16    0     2->1    si
   0.3183   P1    PROD   2000021     22    1     1->2    -
   0.3183   C0    CONS   2000016     17    1     1->0    si
   0.3185   P1    PROD   2000022     23    2     0->1    -
   0.3185   P1    PROD   2000023     24    3     1->2    -
   0.3185   P1    PROD   2000024     25    4     2->3    -
   0.3187   C0    CONS   2000022     23    2     3->2    si
   0.3188   C0    CONS   2000023     24    3     2->1    si
   0.3188   C0    CONS   2000024     25    4     1->0    si
   0.4309   P0    PROD   1000000      1    0     0->1    -
   0.4310   P0    PROD   1000001      2    1     1->2    -
   0.4310   P0    PROD   1000002      3    2     2->3    -
   0.4311   P0    PROD   1000003      4    3     3->4    -
   0.4311   P0    PROD   1000004      5    4     4->5    -
   0.4871   C0    CONS   1000000      1    0     5->4    si
   0.4873   P0    PROD   1000005      6    0     3->4    -
   0.4874   P0    PROD   1000006      7    1     4->5    -
   0.4911   C0    CONS   1000001      2    1     4->3    si
   0.4914   C0    CONS   1000002      3    2     5->4    si
   0.4915   C0    CONS   1000003      4    3     4->3    si
   0.4915   C0    CONS   1000004      5    4     3->2    si
   0.4915   C0    CONS   1000005      6    0     2->1    si
   0.4916   C0    CONS   1000006      7    1     1->0    si
   0.4918   P0    PROD   1000007      8    2     0->1    -
   0.4918   P0    PROD   1000008      9    3     1->2    -
   0.4919   P0    PROD   1000009     10    4     2->3    -
   0.4919   P0    PROD   1000010     11    0     3->4    -
   0.4920   P0    PROD   1000011     12    1     4->5    -
   0.4923   C0    CONS   1000007      8    2     5->4    si
   0.4923   C0    CONS   1000008      9    3     4->3    si
   0.4924   C0    CONS   1000009     10    4     3->2    si
   0.4924   P0    PROD   1000012     13    2     2->3    -
   0.4925   C0    CONS   1000010     11    0     2->2    si
   0.4925   C0    CONS   1000011     12    1     2->1    si
   0.4926   P0    PROD   1000013     14    3     1->2    -
   0.4927   P0    PROD   1000014     15    4     2->3    -
   0.4927   C0    CONS   1000012     13    2     1->2    si
   0.4928   P0    PROD   1000015     16    0     2->3    -
   0.4928   C0    CONS   1000013     14    3     2->1    si
   0.4929   C0    CONS   1000014     15    4     1->2    si
   0.4930   P0    PROD   1000016     17    1     2->3    -
   0.4930   P0    PROD   1000017     18    2     3->4    -
   0.4931   C0    CONS   1000015     16    0     2->2    si
   0.4932   P0    PROD   1000018     19    3     4->5    -
   0.4932   C0    CONS   1000016     17    1     4->3    si
   0.4933   P0    PROD   1000019     20    4     3->4    -
   0.4934   C0    CONS   1000017     18    2     3->3    si
   0.4934   P0    PROD   1000020     21    0     3->4    -
   0.4934   C0    CONS   1000018     19    3     3->2    si
   0.4936   C0    CONS   1000019     20    4     2->1    si
   0.4936   P0    PROD   1000021     22    1     2->3    -
   0.4937   P0    PROD   1000022     23    2     3->4    -
   0.4937   C0    CONS   1000020     21    0     3->2    si
   0.4938   P0    PROD   1000023     24    3     4->5    -
   0.4938   C0    CONS   1000021     22    1     2->4    si
   0.4939   P0    PROD   1000024     25    4     4->5    -
   0.4940   C0    CONS   1000022     23    2     4->4    si
   0.4940   C0    CONS   1000023     24    3     4->3    si
   0.4941   C0    CONS   1000024     25    4     3->2    si
   0.4941   C0    CONS   1000020     21    0     2->1    si
   0.4941   C0    CONS   1000021     22    1     1->0    si
