version,capacidad,productores,consumidores,items_por_productor,producidos,consumidos,suma_producida,suma_consumida,perdidos,duplicados,fantasma,corruptos,entregados_ok,max_cuenta,excedio_capacidad,invariante_ok,milisegundos
A,5,2,2,10000,20000,19273,100010000,97629192,5443,4412,0,304,14557,6,1,0,7.12485
A,5,2,2,10000,20000,22242,100010000,109856519,4256,6324,0,174,15744,6,1,0,10.2142
A,5,2,2,10000,20000,21388,100010000,106084682,4504,5666,0,226,15496,6,1,0,7.96379
A,5,2,2,10000,20000,19861,100010000,98307070,4718,4271,0,308,15282,6,1,0,11.9393
A,5,2,2,10000,20000,20071,100010000,101089378,4637,4423,0,285,15363,6,1,0,5.91598
B,5,2,2,10000,20000,20000,100010000,100010000,0,0,0,0,20000,5,0,1,1281.86
B,5,2,2,10000,20000,20000,100010000,100010000,0,0,0,0,20000,5,0,1,1728.59
B,5,2,2,10000,20000,20000,100010000,100010000,0,0,0,0,20000,5,0,1,567.864
B,5,2,2,10000,20000,20000,100010000,100010000,0,0,0,0,20000,5,0,1,810.232
B,5,2,2,10000,20000,20000,100010000,100010000,0,0,0,0,20000,5,0,1,1327.32
A,5,4,4,5000,20000,17505,50010000,45194166,7391,4441,0,455,12609,8,1,0,6.1782
A,5,4,4,5000,20000,18701,50010000,47286775,6426,4863,0,264,13574,8,1,0,9.54884
A,5,4,4,5000,20000,17668,50010000,45474272,7371,4632,0,407,12629,7,1,0,6.03396
A,5,4,4,5000,20000,16688,50010000,44046033,7103,3509,0,282,12897,8,1,0,8.99674
A,5,4,4,5000,20000,16109,50010000,42037754,7443,3231,0,321,12557,7,1,0,8.71801
B,5,4,4,5000,20000,20000,50010000,50010000,0,0,0,0,20000,5,0,1,379.863
B,5,4,4,5000,20000,20000,50010000,50010000,0,0,0,0,20000,5,0,1,906.023
B,5,4,4,5000,20000,20000,50010000,50010000,0,0,0,0,20000,5,0,1,845.792
B,5,4,4,5000,20000,20000,50010000,50010000,0,0,0,0,20000,5,0,1,139.531
B,5,4,4,5000,20000,20000,50010000,50010000,0,0,0,0,20000,5,0,1,731.562
A,50,2,2,10000,20000,24959,100010000,127337720,4153,9068,0,44,15847,52,1,0,4.18702
A,50,2,2,10000,20000,23597,100010000,123665725,7056,10543,0,110,12944,51,1,0,2.96642
A,50,2,2,10000,20000,23216,100010000,107574473,6912,10022,0,106,13088,51,1,0,4.88957
A,50,2,2,10000,20000,21361,100010000,109177103,5902,7168,0,95,14098,51,1,0,4.76906
A,50,2,2,10000,20000,22536,100010000,121063973,6445,8738,0,243,13555,52,1,0,8.73368
B,50,2,2,10000,20000,20000,100010000,100010000,0,0,0,0,20000,50,0,1,141.984
B,50,2,2,10000,20000,20000,100010000,100010000,0,0,0,0,20000,50,0,1,103.125
B,50,2,2,10000,20000,20000,100010000,100010000,0,0,0,0,20000,50,0,1,157.581
B,50,2,2,10000,20000,20000,100010000,100010000,0,0,0,0,20000,50,0,1,149.049
B,50,2,2,10000,20000,20000,100010000,100010000,0,0,0,0,20000,50,0,1,177.122
A,50,4,4,5000,20000,22909,50010000,59112094,5986,8782,0,113,14014,52,1,0,7.32877
A,50,4,4,5000,20000,28894,50010000,72135963,6103,14866,0,131,13897,52,1,0,11.3483
A,50,4,4,5000,20000,18202,50010000,51617556,10502,8378,0,326,9498,53,1,0,5.98794
A,50,4,4,5000,20000,20490,50010000,58338226,6899,7291,0,98,13101,53,1,0,4.69114
A,50,4,4,5000,20000,22981,50010000,60107807,4518,7410,0,89,15482,52,1,0,5.5197
B,50,4,4,5000,20000,20000,50010000,50010000,0,0,0,0,20000,50,0,1,128.073
B,50,4,4,5000,20000,20000,50010000,50010000,0,0,0,0,20000,50,0,1,174.59
B,50,4,4,5000,20000,20000,50010000,50010000,0,0,0,0,20000,50,0,1,142.896
B,50,4,4,5000,20000,20000,50010000,50010000,0,0,0,0,20000,50,0,1,189.432
B,50,4,4,5000,20000,20000,50010000,50010000,0,0,0,0,20000,50,0,1,259.842
