version,capacidad,productores,consumidores,items_por_productor,producidos,consumidos,suma_producida,suma_consumida,perdidos,duplicados,fantasma,corruptos,entregados_ok,max_cuenta,excedio_capacidad,invariante_ok,milisegundos
A,5,2,2,10000,20000,22171,100010000,101211634,8003,9783,0,391,11997,7,1,0,2.5793
A,5,2,2,10000,20000,21380,100010000,102966786,7303,8590,0,93,12697,6,1,0,2.3866
A,5,2,2,10000,20000,22134,100010000,106388443,8214,10138,0,210,11786,6,1,0,2.3821
A,5,2,2,10000,20000,20401,100010000,100622343,6643,6950,0,94,13357,7,1,0,1.8105
A,5,2,2,10000,20000,23940,100010000,117612441,7164,10497,0,607,12836,7,1,0,2.4032
B,5,2,2,10000,20000,20000,100010000,100010000,0,0,0,0,20000,5,0,1,60.089
B,5,2,2,10000,20000,20000,100010000,100010000,0,0,0,0,20000,5,0,1,62.6046
B,5,2,2,10000,20000,20000,100010000,100010000,0,0,0,0,20000,5,0,1,67.3352
B,5,2,2,10000,20000,20000,100010000,100010000,0,0,0,0,20000,5,0,1,74.0079
B,5,2,2,10000,20000,20000,100010000,100010000,0,0,0,0,20000,5,0,1,65.4634
A,5,4,4,5000,20000,23331,50010000,59683557,10516,13299,0,548,9484,8,1,0,2.7298
A,5,4,4,5000,20000,24033,50010000,63128024,10416,13859,0,590,9584,8,1,0,2.7004
A,5,4,4,5000,20000,25986,50010000,69123114,9359,14760,0,585,10641,8,1,0,3.2255
A,5,4,4,5000,20000,23196,50010000,62527476,9790,12672,0,314,10210,9,1,0,3.3766
A,5,4,4,5000,20000,22565,50010000,58101796,10231,12138,0,658,9769,8,1,0,2.4323
B,5,4,4,5000,20000,20000,50010000,50010000,0,0,0,0,20000,5,0,1,100.726
B,5,4,4,5000,20000,20000,50010000,50010000,0,0,0,0,20000,5,0,1,93.3813
B,5,4,4,5000,20000,20000,50010000,50010000,0,0,0,0,20000,5,0,1,104.268
B,5,4,4,5000,20000,20000,50010000,50010000,0,0,0,0,20000,5,0,1,93.3039
B,5,4,4,5000,20000,20000,50010000,50010000,0,0,0,0,20000,5,0,1,86.2915
A,50,2,2,10000,20000,28712,100010000,134936779,6858,15456,0,114,13142,51,1,0,2.3209
A,50,2,2,10000,20000,27983,100010000,139072985,6740,14638,0,85,13260,51,1,0,2.6848
A,50,2,2,10000,20000,23941,100010000,122248336,7419,11227,0,133,12581,51,1,0,2.9317
A,50,2,2,10000,20000,48825,100010000,224576492,3993,32637,0,181,16007,51,1,0,2.0456
A,50,2,2,10000,20000,27497,100010000,135811686,8064,15506,0,55,11936,52,1,0,2.565
B,50,2,2,10000,20000,20000,100010000,100010000,0,0,0,0,20000,50,0,1,11.9693
B,50,2,2,10000,20000,20000,100010000,100010000,0,0,0,0,20000,50,0,1,12.17
B,50,2,2,10000,20000,20000,100010000,100010000,0,0,0,0,20000,50,0,1,10.4013
B,50,2,2,10000,20000,20000,100010000,100010000,0,0,0,0,20000,50,0,1,9.0734
B,50,2,2,10000,20000,20000,100010000,100010000,0,0,0,0,20000,50,0,1,10.9501
A,50,4,4,5000,20000,36460,50010000,95991175,8868,25148,0,180,11132,53,1,0,2.7468
A,50,4,4,5000,20000,27955,50010000,68246574,10484,18278,0,161,9516,53,1,0,2.4483
A,50,4,4,5000,20000,28343,50010000,74431208,9763,18019,0,87,10237,52,1,0,2.6093
A,50,4,4,5000,20000,40050,50010000,97436150,6405,26344,0,111,13595,52,1,0,2.1258
A,50,4,4,5000,20000,48104,50010000,120424032,7400,35232,0,272,12600,53,1,0,2.116
B,50,4,4,5000,20000,20000,50010000,50010000,0,0,0,0,20000,50,0,1,18.6853
B,50,4,4,5000,20000,20000,50010000,50010000,0,0,0,0,20000,50,0,1,17.7751
B,50,4,4,5000,20000,20000,50010000,50010000,0,0,0,0,20000,50,0,1,17.7401
B,50,4,4,5000,20000,20000,50010000,50010000,0,0,0,0,20000,50,0,1,18.2803
B,50,4,4,5000,20000,20000,50010000,50010000,0,0,0,0,20000,50,0,1,16.792
