variante,productores,consumidores,capacidad,items,producidos,consumidos,perdidos,duplicados,fantasma,corruptos,inconsistencias,entregados_ok,max_cuenta,violo_capacidad,drenados,timeouts,segundos
A,4,4,8,50000,50000,44897,12739,6939,0,697,20375,37261,8,0,2,0,0.126138
A,4,4,8,50000,43178,50000,5189,11642,0,369,17200,37989,8,0,1,0,0.103089
A,4,4,8,50000,50000,41903,13666,4829,0,740,19235,36334,8,0,1,0,0.0369948
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,1.70366
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,1.79481
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,1.70867
A,4,4,64,50000,42816,50000,4584,11638,0,130,16352,38232,64,0,2,0,0.103158
A,4,4,64,50000,44397,50000,5568,11025,0,146,16739,38829,64,0,1,0,0.0481665
A,4,4,64,50000,40067,50000,4944,14734,0,143,19821,35123,64,0,3,0,0.0760975
B,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,0.718052
B,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,1.35962
B,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,1.23324
A,4,4,512,50000,38149,50000,3120,14963,0,8,18091,35029,512,0,2,0,0.102814
A,4,4,512,50000,41226,50000,1568,10325,0,17,11910,39658,512,0,2,0,0.117793
A,4,4,512,50000,35394,50000,1467,16064,0,9,17540,33927,512,0,4,0,0.0334749
B,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.539049
B,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.568052
B,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.416697
A,4,4,4096,50000,49133,50000,12408,13143,0,132,25683,36725,4096,0,1,0,0.0294293
A,4,4,4096,50000,45816,50000,10232,14244,0,172,24648,35584,4096,0,2,0,0.0323647
A,4,4,4096,50000,50000,50000,11359,11286,0,73,22718,38641,4096,0,0,0,0.0420931
B,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.164285
B,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.0884761
B,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.138826
