variante,productores,consumidores,capacidad,items,producidos,consumidos,perdidos,duplicados,fantasma,corruptos,inconsistencias,entregados_ok,max_cuenta,violo_capacidad,drenados,timeouts,segundos
A,4,4,8,50000,50000,45127,12138,6686,0,579,19403,37862,8,0,2,0,0.0594389
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,1.50915
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,8.08159
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,6.29894
A,4,4,64,50000,50000,48168,14074,11826,0,416,26316,35926,64,0,1,0,0.0332119
B,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,0.8949
C,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,2.15706
D,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,2.09465
A,4,4,512,50000,38434,50000,2666,14168,0,64,16898,35768,512,0,2,0,0.0792276
B,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.645884
C,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.4923
D,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.475087
A,4,4,4096,50000,48673,50000,5842,7169,0,0,13011,42831,4096,0,1,0,0.0830098
B,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.127335
C,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.090114
D,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.155366
A,4,4,32768,50000,50000,50000,3102,3101,0,1,6204,46898,32768,0,0,0,0.0207106
B,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,18248,0,0,0,0.127656
C,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,22385,0,0,0,0.0683465
D,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,22987,0,0,0,0.272948
A,4,4,8,50000,50000,41901,15864,6898,0,867,23629,34136,8,0,2,0,0.0709747
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,1.8856
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,5.57674
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,5.07084
A,4,4,64,50000,38583,50000,5176,16442,0,151,21769,33407,64,0,2,0,0.0388675
B,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,0.825544
C,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,3.29349
D,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,3.22854
A,4,4,512,50000,41908,50000,2621,10672,0,41,13334,39287,512,0,1,0,0.133927
B,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.587023
C,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.591727
D,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.561473
A,4,4,4096,50000,41489,50000,10190,18578,0,123,28891,31299,4096,0,1,0,0.102542
B,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.160448
C,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.27296
D,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.280804
A,4,4,32768,50000,50000,50000,15136,15052,0,84,30272,34864,32768,0,0,0,0.0154595
B,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,18273,0,0,0,0.187193
C,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,22692,0,0,0,0.0577005
D,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,32768,0,0,0,0.130039
A,4,4,8,50000,50000,43158,15319,7743,0,734,23796,34681,8,0,1,0,0.122933
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,1.39641
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,5.90575
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,4.19699
A,4,4,64,50000,40977,50000,5677,14521,0,179,20377,35300,64,0,2,0,0.0294504
B,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,0.606276
C,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,2.21303
D,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,1.80139
A,4,4,512,50000,39224,50000,6270,16854,0,192,23316,32954,512,0,2,0,0.0259226
B,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.306003
C,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.516384
D,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.656066
A,4,4,4096,50000,48629,50000,11651,12977,0,45,24673,36978,4096,0,1,0,0.0498088
B,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.06619
C,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.0825169
D,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.152836
A,4,4,32768,50000,50000,50000,13719,13635,0,84,27438,36281,23726,0,0,0,0.0159725
B,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,18154,0,0,0,0.0543724
C,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,32768,0,0,0,0.10457
D,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,32765,0,0,0,0.149327
