variante,productores,consumidores,capacidad,items,producidos,consumidos,perdidos,duplicados,fantasma,corruptos,inconsistencias,entregados_ok,max_cuenta,violo_capacidad,drenados,timeouts,segundos
A,4,4,8,50000,50000,38504,16856,4454,0,906,22216,33144,8,0,3,0,0.0497728
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.604741
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,5.71336
A,4,4,64,50000,49748,50000,11624,11442,0,434,23500,38124,64,0,1,0,0.0461114
B,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,0.499957
C,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,1.86868
A,4,4,512,50000,39570,50000,6314,16591,0,153,23058,33256,512,0,3,0,0.047505
B,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.264994
C,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.275795
A,4,4,4096,50000,38565,50000,10183,21455,0,163,31801,28382,4096,0,3,0,0.0229574
B,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.203902
C,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.185843
A,4,4,32768,50000,50000,50000,11580,11541,0,39,23160,38420,22563,0,0,0,0.0140471
B,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,9220,0,0,0,0.137601
C,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,32768,0,0,0,0.0794988
A,4,4,8,50000,50000,45586,13285,8200,0,671,22156,36715,8,0,2,0,0.0693092
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.661221
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,5.17324
A,4,4,64,50000,40456,50000,5035,14447,0,132,19614,35421,64,0,3,0,0.0646262
B,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,0.505047
C,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,1.72306
A,4,4,512,50000,36734,50000,3045,16258,0,53,19356,33689,512,0,2,0,0.0717262
B,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.259649
C,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.298333
A,4,4,4096,50000,45651,50000,9380,13706,0,23,23109,36271,4096,0,1,0,0.0391851
B,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.0889286
C,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.0956611
A,4,4,32768,50000,50000,50000,7326,7190,0,136,14652,42674,31119,0,0,0,0.0202066
B,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,18565,0,0,0,0.129184
C,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,18861,0,0,0,0.069535
A,4,4,8,50000,50000,48075,11858,9255,0,678,21791,38142,8,0,1,0,0.0508578
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.577942
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,7.84678
A,4,4,64,50000,44587,50000,3778,9135,0,56,12969,40809,64,0,1,0,0.133536
B,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,0.73977
C,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,1.74304
A,4,4,512,50000,40237,50000,11697,21100,0,360,33157,28540,512,0,3,0,0.030907
B,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.278273
C,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.340417
A,4,4,4096,50000,45026,50000,10836,15778,0,32,26646,34190,4096,0,2,0,0.0345802
B,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.11579
C,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.114867
A,4,4,32768,50000,50000,50000,2439,2428,0,11,4878,47561,12521,0,0,0,0.0179399
B,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,9322,0,0,0,0.0517942
C,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,14039,0,0,0,0.0604666
