variante,productores,consumidores,capacidad,items,producidos,consumidos,perdidos,duplicados,fantasma,corruptos,inconsistencias,entregados_ok,max_cuenta,violo_capacidad,drenados,timeouts,segundos
A,4,4,8,50000,48669,50000,12095,12706,0,720,25521,36574,8,0,1,0,0.0735399
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,1.41692
C,4,4,8,50000,47940,47940,0,0,0,0,0,47940,8,0,1,2,9.98007
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,6.22879
A,4,4,8,50000,50000,46254,14184,9643,0,795,24622,35816,8,0,1,0,0.070842
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,2.092
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,6.26101
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,5.76331
A,4,4,8,50000,50000,37589,17562,4289,0,862,22713,32438,8,0,3,0,0.0680956
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.889534
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,5.70567
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,6.35953
A,4,4,8,50000,50000,44464,14313,7998,0,779,23090,35687,8,0,1,0,0.0720393
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,1.52194
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,6.39115
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,6.97379
A,4,4,8,50000,46414,50000,7896,10959,0,523,19378,38518,8,0,1,0,0.150137
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,1.89434
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,5.32447
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,5.73237
