variante,productores,consumidores,capacidad,items,producidos,consumidos,perdidos,duplicados,fantasma,corruptos,inconsistencias,entregados_ok,max_cuenta,violo_capacidad,drenados,timeouts,segundos
A,4,4,8,50000,49226,50000,12698,12748,0,724,26170,36528,8,0,1,0,0.0529498
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,1.25936
A,4,4,8,50000,50000,46556,13983,9577,0,962,24522,36017,8,0,2,0,0.0650645
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,1.19129
A,4,4,8,50000,50000,48958,13716,11757,0,917,26390,36284,8,0,1,0,0.0540206
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,1.34258
A,4,4,8,50000,48400,50000,10183,11091,0,692,21966,38217,8,0,2,0,0.043588
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,1.18372
A,4,4,8,50000,50000,50000,10656,9871,0,785,21312,39344,8,0,0,0,0.0688262
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,1.12048
A,4,4,8,50000,50000,41119,16788,6940,0,967,24695,33212,8,0,3,0,0.0630827
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.929942
