variante,productores,consumidores,capacidad,items,producidos,consumidos,perdidos,duplicados,fantasma,corruptos,inconsistencias,entregados_ok,max_cuenta,violo_capacidad,drenados,timeouts,segundos
A,4,4,8,50000,50000,43454,15355,7965,0,844,24164,34645,8,0,2,0,0.0688239
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.802577
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,6.21282
A,4,4,8,50000,50000,46443,14099,9723,0,819,24641,35901,8,0,1,0,0.242452
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,1.9822
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,7.24753
A,4,4,8,50000,50000,49754,9422,8697,0,479,18598,40578,8,0,1,0,0.123187
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.691492
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,6.52575
A,4,4,8,50000,49657,50000,12499,12038,0,804,25341,37158,8,0,1,0,0.0587877
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.888159
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,5.75088
A,4,4,8,50000,45549,50000,7179,11187,0,443,18809,38370,8,0,2,0,0.0534748
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.907735
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,4.76301
