variante,productores,consumidores,capacidad,items,producidos,consumidos,perdidos,duplicados,fantasma,corruptos,inconsistencias,entregados_ok,max_cuenta,violo_capacidad,drenados,timeouts,segundos
A,4,4,8,50000,50000,45410,22811,16849,0,1372,41032,27189,8,0,1,0,0.012884
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.936094
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,2.25386
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,2.3251
A,4,4,8,50000,50000,32009,29784,11039,0,754,41577,20216,8,0,3,0,0.00827449
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.298634
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,1.99812
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,2.37021
A,4,4,8,50000,50000,34131,28601,11419,0,1313,41333,21399,8,0,2,0,0.00715263
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.398627
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,2.45091
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,2.23424
A,4,4,8,50000,50000,45321,27161,21211,0,1271,49643,22839,8,0,1,0,0.0100737
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.341172
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,2.17449
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,2.17446
A,4,4,8,50000,50000,37824,27760,14601,0,983,43344,22240,8,0,2,0,0.00803858
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.417292
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,1.81893
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,2.35783
