variante,productores,consumidores,capacidad,items,producidos,consumidos,perdidos,duplicados,fantasma,corruptos,inconsistencias,entregados_ok,max_cuenta,violo_capacidad,drenados,timeouts,segundos
A,4,4,8,50000,50000,43430,31667,25069,0,28,56764,18333,8,0,3,0,0.0056283
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.0473612
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.129275
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.293994
A,4,4,8,50000,50000,49544,28406,27910,0,40,56356,21594,8,0,1,0,0.0040442
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.0462445
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.141289
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.303314
A,4,4,8,50000,50000,44863,32162,26990,0,35,59187,17838,8,0,3,0,0.0052964
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.0448871
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.13203
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.305125
A,4,4,8,50000,50000,47442,30731,28156,0,17,58904,19269,8,0,2,0,0.0056027
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.0430785
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.146597
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.305962
A,4,4,8,50000,50000,45049,32378,27390,0,37,59805,17622,8,0,3,0,0.0052218
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.0438658
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.149152
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.291445
