variante,productores,consumidores,capacidad,items,producidos,consumidos,perdidos,duplicados,fantasma,corruptos,inconsistencias,entregados_ok,max_cuenta,violo_capacidad,drenados,timeouts,segundos
A,4,4,8,50000,50000,46622,29252,25761,0,113,55126,20748,8,0,1,0,0.0040438
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.0468539
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.122605
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.286838
A,4,4,64,50000,50000,49240,31798,31034,0,4,62836,18202,64,0,1,0,0.0036419
B,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,0.0277569
C,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,0.0380491
D,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,0.456213
A,4,4,512,50000,50000,48274,35020,33266,0,28,68314,14980,512,0,1,0,0.0032992
B,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.0769724
C,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.0292834
D,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.359985
A,4,4,4096,50000,50000,50000,20948,20869,0,79,41896,29052,4096,0,0,0,0.0136212
B,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.0253572
C,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.0236824
D,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,965,0,0,0,0.424145
A,4,4,32768,50000,50000,46310,23561,11100,0,8771,43432,26439,12500,0,3,0,0.024282
B,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,5160,0,0,0,0.0244022
C,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,2252,0,0,0,0.0294289
D,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,9702,0,0,0,0.278972
A,4,4,8,50000,39220,50000,5778,16556,0,2,22336,33442,8,0,1,0,0.0875715
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.0574187
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.139627
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.30818
A,4,4,64,50000,50000,47648,30221,27745,0,124,58090,19779,64,0,2,0,0.0056783
B,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,0.0347621
C,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,0.0367093
D,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,0.57831
A,4,4,512,50000,50000,49458,28164,26935,0,687,55786,21836,512,0,1,0,0.0059107
B,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.0240847
C,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.0266994
D,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.763486
A,4,4,4096,50000,50000,50000,28180,28169,0,11,56360,21820,4096,0,0,0,0.005971
B,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,1079,0,0,0,0.11675
C,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.0429695
D,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,2452,0,0,0,0.482017
A,4,4,32768,50000,50000,50000,6053,6053,0,0,12106,43947,25000,0,0,0,0.134391
B,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,32768,0,0,0,0.107809
C,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,12500,0,0,0,0.0605314
D,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,1067,0,0,0,0.558465
A,4,4,8,50000,50000,43957,24138,18053,0,42,42233,25862,8,0,1,0,0.0789589
B,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.0601295
C,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.217037
D,4,4,8,50000,50000,50000,0,0,0,0,0,50000,8,0,0,0,0.332333
A,4,4,64,50000,50000,40055,25102,15131,0,26,40259,24898,64,0,2,0,0.161091
B,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,0.153202
C,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,0.0339045
D,4,4,64,50000,50000,50000,0,0,0,0,0,50000,64,0,0,0,0.617676
A,4,4,512,50000,50000,50000,33042,33020,0,22,66084,16958,512,0,0,0,0.017773
B,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.0217502
C,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.0332966
D,4,4,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.541299
A,4,4,4096,50000,50000,50000,33852,33845,0,7,67704,16148,4096,0,0,0,0.0065611
B,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,3930,0,0,0,0.0214028
C,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.0237635
D,4,4,4096,50000,50000,50000,0,0,0,0,0,50000,2851,0,0,0,0.443435
A,4,4,32768,50000,50000,50000,24028,24025,0,3,48056,25972,15732,0,0,0,0.0111583
B,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,4035,0,0,0,0.0236747
C,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,1146,0,0,0,0.0328048
D,4,4,32768,50000,50000,50000,0,0,0,0,0,50000,6302,0,0,0,0.26101
