variante,productores,consumidores,capacidad,items,producidos,consumidos,perdidos,duplicados,fantasma,corruptos,inconsistencias,entregados_ok,max_cuenta,violo_capacidad,drenados,timeouts,segundos
B,16,16,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.0663441
C,16,16,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.0325912
B,16,16,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.0738192
C,16,16,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.0244119
B,16,16,32768,50000,50000,50000,0,0,0,0,0,50000,32768,0,0,0,0.023858
C,16,16,32768,50000,50000,50000,0,0,0,0,0,50000,32768,0,0,0,0.023941
B,16,16,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.0525975
C,16,16,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.0291302
B,16,16,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.047479
C,16,16,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.0282995
B,16,16,32768,50000,50000,50000,0,0,0,0,0,50000,32768,0,0,0,0.024645
C,16,16,32768,50000,50000,50000,0,0,0,0,0,50000,32768,0,0,0,0.0235147
B,16,16,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.0548718
C,16,16,512,50000,50000,50000,0,0,0,0,0,50000,512,0,0,0,0.0363226
B,16,16,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.0410853
C,16,16,4096,50000,50000,50000,0,0,0,0,0,50000,4096,0,0,0,0.0256289
B,16,16,32768,50000,50000,50000,0,0,0,0,0,50000,32768,0,0,0,0.0233229
C,16,16,32768,50000,50000,50000,0,0,0,0,0,50000,32768,0,0,0,0.023355
