algoritmo,cadena,marcos,referencias,aciertos,fallos,tasa_fallos,microsegundos
FIFO,data/corta.txt,3,20,5,15,75,2.245
LRU,data/corta.txt,3,20,8,12,60,3.15
OPTIMO,data/corta.txt,3,20,11,9,45,2.321
FIFO,data/corta.txt,4,20,10,10,50,1.156
LRU,data/corta.txt,4,20,12,8,40,1.287
OPTIMO,data/corta.txt,4,20,12,8,40,1.39
FIFO,data/corta.txt,5,20,11,9,45,2.087
LRU,data/corta.txt,5,20,13,7,35,4.855
OPTIMO,data/corta.txt,5,20,13,7,35,1.989
FIFO,data/belady.txt,3,12,3,9,75,1.195
LRU,data/belady.txt,3,12,2,10,83.3333,1.297
OPTIMO,data/belady.txt,3,12,5,7,58.3333,0.975
FIFO,data/belady.txt,4,12,2,10,83.3333,1.852
LRU,data/belady.txt,4,12,4,8,66.6667,2.261
OPTIMO,data/belady.txt,4,12,6,6,50,1.847
FIFO,data/belady.txt,5,12,7,5,41.6667,0.772
LRU,data/belady.txt,5,12,7,5,41.6667,0.833
OPTIMO,data/belady.txt,5,12,7,5,41.6667,0.629
FIFO,data/larga_localidad.txt,3,1200,864,336,28,26.746
LRU,data/larga_localidad.txt,3,1200,884,316,26.3333,45.367
OPTIMO,data/larga_localidad.txt,3,1200,1005,195,16.25,31.204
FIFO,data/larga_localidad.txt,4,1200,1092,108,9,23.233
LRU,data/larga_localidad.txt,4,1200,1129,71,5.91667,50.845
OPTIMO,data/larga_localidad.txt,4,1200,1141,59,4.91667,323.987
FIFO,data/larga_localidad.txt,5,1200,1137,63,5.25,15.173
LRU,data/larga_localidad.txt,5,1200,1141,59,4.91667,23.908
OPTIMO,data/larga_localidad.txt,5,1200,1144,56,4.66667,19.362
FIFO,data/larga_localidad.txt,8,1200,1141,59,4.91667,28.862
LRU,data/larga_localidad.txt,8,1200,1141,59,4.91667,41.686
OPTIMO,data/larga_localidad.txt,8,1200,1153,47,3.91667,31.791
FIFO,data/larga_localidad.txt,12,1200,1141,59,4.91667,23.567
LRU,data/larga_localidad.txt,12,1200,1141,59,4.91667,44.774
OPTIMO,data/larga_localidad.txt,12,1200,1164,36,3,32.84
FIFO,data/larga_localidad.txt,16,1200,1141,59,4.91667,24.801
LRU,data/larga_localidad.txt,16,1200,1141,59,4.91667,49.639
OPTIMO,data/larga_localidad.txt,16,1200,1172,28,2.33333,35.999
FIFO,data/larga_secuencial.txt,3,1200,0,1200,100,32.52
LRU,data/larga_secuencial.txt,3,1200,0,1200,100,60.856
OPTIMO,data/larga_secuencial.txt,3,1200,126,1074,89.5,72.033
FIFO,data/larga_secuencial.txt,4,1200,0,1200,100,25.876
LRU,data/larga_secuencial.txt,4,1200,0,1200,100,51.729
OPTIMO,data/larga_secuencial.txt,4,1200,188,1012,84.3333,56.483
FIFO,data/larga_secuencial.txt,5,1200,0,1200,100,58.264
LRU,data/larga_secuencial.txt,5,1200,0,1200,100,106.756
OPTIMO,data/larga_secuencial.txt,5,1200,250,950,79.1667,128.394
FIFO,data/larga_secuencial.txt,8,1200,0,1200,100,41.456
LRU,data/larga_secuencial.txt,8,1200,0,1200,100,89.691
OPTIMO,data/larga_secuencial.txt,8,1200,436,764,63.6667,350.631
FIFO,data/larga_secuencial.txt,12,1200,0,1200,100,34.408
LRU,data/larga_secuencial.txt,12,1200,0,1200,100,71.479
OPTIMO,data/larga_secuencial.txt,12,1200,684,516,43,80.931
FIFO,data/larga_secuencial.txt,16,1200,0,1200,100,23.872
LRU,data/larga_secuencial.txt,16,1200,0,1200,100,50.78
OPTIMO,data/larga_secuencial.txt,16,1200,932,268,22.3333,40.687
FIFO,data/larga_aleatoria.txt,3,1200,172,1028,85.6667,41.61
LRU,data/larga_aleatoria.txt,3,1200,170,1030,85.8333,67.802
OPTIMO,data/larga_aleatoria.txt,3,1200,423,777,64.75,73.411
FIFO,data/larga_aleatoria.txt,4,1200,224,976,81.3333,54.515
LRU,data/larga_aleatoria.txt,4,1200,228,972,81,96.019
OPTIMO,data/larga_aleatoria.txt,4,1200,528,672,56,105.717
FIFO,data/larga_aleatoria.txt,5,1200,296,904,75.3333,46.582
LRU,data/larga_aleatoria.txt,5,1200,286,914,76.1667,80.084
OPTIMO,data/larga_aleatoria.txt,5,1200,613,587,48.9167,89.707
FIFO,data/larga_aleatoria.txt,8,1200,470,730,60.8333,48.692
LRU,data/larga_aleatoria.txt,8,1200,469,731,60.9167,73.761
OPTIMO,data/larga_aleatoria.txt,8,1200,806,394,32.8333,75.139
FIFO,data/larga_aleatoria.txt,12,1200,714,486,40.5,24.805
LRU,data/larga_aleatoria.txt,12,1200,719,481,40.0833,39.349
OPTIMO,data/larga_aleatoria.txt,12,1200,983,217,18.0833,40.23
FIFO,data/larga_aleatoria.txt,16,1200,951,249,20.75,18.664
LRU,data/larga_aleatoria.txt,16,1200,961,239,19.9167,29.998
OPTIMO,data/larga_aleatoria.txt,16,1200,1102,98,8.16667,28.508
