algoritmo,cadena,marcos,referencias,aciertos,fallos,tasa_fallos,microsegundos
FIFO,data/corta.txt,3,20,5,15,75,3.9
LRU,data/corta.txt,3,20,8,12,60,6.2
OPTIMO,data/corta.txt,3,20,11,9,45,2.5
FIFO,data/corta.txt,4,20,10,10,50,7.8
LRU,data/corta.txt,4,20,12,8,40,4.1
OPTIMO,data/corta.txt,4,20,12,8,40,42.2
FIFO,data/corta.txt,5,20,11,9,45,8.5
LRU,data/corta.txt,5,20,13,7,35,7.9
OPTIMO,data/corta.txt,5,20,13,7,35,2.4
FIFO,data/belady.txt,3,12,3,9,75,3
LRU,data/belady.txt,3,12,2,10,83.3333,5
OPTIMO,data/belady.txt,3,12,5,7,58.3333,1.5
FIFO,data/belady.txt,4,12,2,10,83.3333,6.3
LRU,data/belady.txt,4,12,4,8,66.6667,3.4
OPTIMO,data/belady.txt,4,12,6,6,50,3.3
FIFO,data/belady.txt,5,12,7,5,41.6667,4.1
LRU,data/belady.txt,5,12,7,5,41.6667,2.8
OPTIMO,data/belady.txt,5,12,7,5,41.6667,1.8
FIFO,data/larga_localidad.txt,3,1200,864,336,28,52.9
LRU,data/larga_localidad.txt,3,1200,884,316,26.3333,89.7
OPTIMO,data/larga_localidad.txt,3,1200,1005,195,16.25,57.1
FIFO,data/larga_localidad.txt,4,1200,1092,108,9,76.9
LRU,data/larga_localidad.txt,4,1200,1129,71,5.91667,88
OPTIMO,data/larga_localidad.txt,4,1200,1141,59,4.91667,64.8
FIFO,data/larga_localidad.txt,5,1200,1137,63,5.25,313.9
LRU,data/larga_localidad.txt,5,1200,1141,59,4.91667,87.3
OPTIMO,data/larga_localidad.txt,5,1200,1144,56,4.66667,423.5
FIFO,data/larga_localidad.txt,8,1200,1141,59,4.91667,93.4
LRU,data/larga_localidad.txt,8,1200,1141,59,4.91667,104.7
OPTIMO,data/larga_localidad.txt,8,1200,1153,47,3.91667,104.3
FIFO,data/larga_localidad.txt,12,1200,1141,59,4.91667,43.6
LRU,data/larga_localidad.txt,12,1200,1141,59,4.91667,58.5
OPTIMO,data/larga_localidad.txt,12,1200,1164,36,3,49.6
FIFO,data/larga_localidad.txt,16,1200,1141,59,4.91667,55.5
LRU,data/larga_localidad.txt,16,1200,1141,59,4.91667,61.9
OPTIMO,data/larga_localidad.txt,16,1200,1172,28,2.33333,64.2
FIFO,data/larga_secuencial.txt,3,1200,0,1200,100,82.4
LRU,data/larga_secuencial.txt,3,1200,0,1200,100,156.7
OPTIMO,data/larga_secuencial.txt,3,1200,126,1074,89.5,107.9
FIFO,data/larga_secuencial.txt,4,1200,0,1200,100,83.5
LRU,data/larga_secuencial.txt,4,1200,0,1200,100,154.9
OPTIMO,data/larga_secuencial.txt,4,1200,188,1012,84.3333,110.2
FIFO,data/larga_secuencial.txt,5,1200,0,1200,100,747.6
LRU,data/larga_secuencial.txt,5,1200,0,1200,100,327.8
OPTIMO,data/larga_secuencial.txt,5,1200,250,950,79.1667,443
FIFO,data/larga_secuencial.txt,8,1200,0,1200,100,96.4
LRU,data/larga_secuencial.txt,8,1200,0,1200,100,162
OPTIMO,data/larga_secuencial.txt,8,1200,436,764,63.6667,114.4
FIFO,data/larga_secuencial.txt,12,1200,0,1200,100,89.1
LRU,data/larga_secuencial.txt,12,1200,0,1200,100,183.1
OPTIMO,data/larga_secuencial.txt,12,1200,684,516,43,110.9
FIFO,data/larga_secuencial.txt,16,1200,0,1200,100,139.5
LRU,data/larga_secuencial.txt,16,1200,0,1200,100,233
OPTIMO,data/larga_secuencial.txt,16,1200,932,268,22.3333,92.8
FIFO,data/larga_aleatoria.txt,3,1200,172,1028,85.6667,104.4
LRU,data/larga_aleatoria.txt,3,1200,170,1030,85.8333,185.6
OPTIMO,data/larga_aleatoria.txt,3,1200,423,777,64.75,122
FIFO,data/larga_aleatoria.txt,4,1200,224,976,81.3333,93
LRU,data/larga_aleatoria.txt,4,1200,228,972,81,206
OPTIMO,data/larga_aleatoria.txt,4,1200,528,672,56,172.6
FIFO,data/larga_aleatoria.txt,5,1200,296,904,75.3333,352.8
LRU,data/larga_aleatoria.txt,5,1200,286,914,76.1667,161
OPTIMO,data/larga_aleatoria.txt,5,1200,613,587,48.9167,354.2
FIFO,data/larga_aleatoria.txt,8,1200,470,730,60.8333,96.9
LRU,data/larga_aleatoria.txt,8,1200,469,731,60.9167,162.1
OPTIMO,data/larga_aleatoria.txt,8,1200,806,394,32.8333,122.3
FIFO,data/larga_aleatoria.txt,12,1200,714,486,40.5,89
LRU,data/larga_aleatoria.txt,12,1200,719,481,40.0833,146
OPTIMO,data/larga_aleatoria.txt,12,1200,983,217,18.0833,139.2
FIFO,data/larga_aleatoria.txt,16,1200,951,249,20.75,68.2
LRU,data/larga_aleatoria.txt,16,1200,961,239,19.9167,96.3
OPTIMO,data/larga_aleatoria.txt,16,1200,1102,98,8.16667,99.1
