algoritmo,cadena,marcos,referencias,aciertos,fallos,tasa_fallos,microsegundos
FIFO,data/larga_localidad.txt,5,1200,1137,63,5.25,40.753
LRU,data/larga_localidad.txt,5,1200,1141,59,4.91667,55.93
OPTIMO,data/larga_localidad.txt,5,1200,1144,56,4.66667,31.409
FIFO,data/larga_secuencial.txt,5,1200,0,1200,100,72.491
LRU,data/larga_secuencial.txt,5,1200,0,1200,100,128.422
OPTIMO,data/larga_secuencial.txt,5,1200,250,950,79.1667,139.383
FIFO,data/larga_aleatoria.txt,5,1200,296,904,75.3333,82.072
LRU,data/larga_aleatoria.txt,5,1200,286,914,76.1667,263.109
OPTIMO,data/larga_aleatoria.txt,5,1200,613,587,48.9167,115.487
FIFO,data/larga_localidad.txt,5,1200,1137,63,5.25,35.979
LRU,data/larga_localidad.txt,5,1200,1141,59,4.91667,394.62
OPTIMO,data/larga_localidad.txt,5,1200,1144,56,4.66667,48.97
FIFO,data/larga_secuencial.txt,5,1200,0,1200,100,71.48
LRU,data/larga_secuencial.txt,5,1200,0,1200,100,340.99
OPTIMO,data/larga_secuencial.txt,5,1200,250,950,79.1667,90.341
FIFO,data/larga_aleatoria.txt,5,1200,296,904,75.3333,82.855
LRU,data/larga_aleatoria.txt,5,1200,286,914,76.1667,136.938
OPTIMO,data/larga_aleatoria.txt,5,1200,613,587,48.9167,115.017
FIFO,data/larga_localidad.txt,5,1200,1137,63,5.25,35.58
LRU,data/larga_localidad.txt,5,1200,1141,59,4.91667,270.192
OPTIMO,data/larga_localidad.txt,5,1200,1144,56,4.66667,46.072
FIFO,data/larga_secuencial.txt,5,1200,0,1200,100,73.942
LRU,data/larga_secuencial.txt,5,1200,0,1200,100,127.36
OPTIMO,data/larga_secuencial.txt,5,1200,250,950,79.1667,141.639
FIFO,data/larga_aleatoria.txt,5,1200,296,904,75.3333,87.958
LRU,data/larga_aleatoria.txt,5,1200,286,914,76.1667,535.639
OPTIMO,data/larga_aleatoria.txt,5,1200,613,587,48.9167,129.417
FIFO,data/larga_localidad.txt,5,1200,1137,63,5.25,35.2
LRU,data/larga_localidad.txt,5,1200,1141,59,4.91667,48.882
OPTIMO,data/larga_localidad.txt,5,1200,1144,56,4.66667,44.873
FIFO,data/larga_secuencial.txt,5,1200,0,1200,100,54.393
LRU,data/larga_secuencial.txt,5,1200,0,1200,100,95.195
OPTIMO,data/larga_secuencial.txt,5,1200,250,950,79.1667,120.417
FIFO,data/larga_aleatoria.txt,5,1200,296,904,75.3333,79.094
LRU,data/larga_aleatoria.txt,5,1200,286,914,76.1667,127.375
OPTIMO,data/larga_aleatoria.txt,5,1200,613,587,48.9167,769.264
FIFO,data/larga_localidad.txt,5,1200,1137,63,5.25,30.642
LRU,data/larga_localidad.txt,5,1200,1141,59,4.91667,48.076
OPTIMO,data/larga_localidad.txt,5,1200,1144,56,4.66667,43.696
FIFO,data/larga_secuencial.txt,5,1200,0,1200,100,42.333
LRU,data/larga_secuencial.txt,5,1200,0,1200,100,83.772
OPTIMO,data/larga_secuencial.txt,5,1200,250,950,79.1667,105.637
FIFO,data/larga_aleatoria.txt,5,1200,296,904,75.3333,77.044
LRU,data/larga_aleatoria.txt,5,1200,286,914,76.1667,123.188
OPTIMO,data/larga_aleatoria.txt,5,1200,613,587,48.9167,120.824
