algoritmo,cadena,marcos,referencias,aciertos,fallos,tasa_fallos,microsegundos
FIFO,data/larga_localidad.txt,5,1200,1137,63,5.25,56.8
LRU,data/larga_localidad.txt,5,1200,1141,59,4.91667,69
OPTIMO,data/larga_localidad.txt,5,1200,1144,56,4.66667,65.1
FIFO,data/larga_secuencial.txt,5,1200,0,1200,100,157.8
LRU,data/larga_secuencial.txt,5,1200,0,1200,100,293.3
OPTIMO,data/larga_secuencial.txt,5,1200,250,950,79.1667,243.7
FIFO,data/larga_aleatoria.txt,5,1200,296,904,75.3333,98.8
LRU,data/larga_aleatoria.txt,5,1200,286,914,76.1667,235.8
OPTIMO,data/larga_aleatoria.txt,5,1200,613,587,48.9167,162.8
FIFO,data/larga_localidad.txt,5,1200,1137,63,5.25,51.6
LRU,data/larga_localidad.txt,5,1200,1141,59,4.91667,61.6
OPTIMO,data/larga_localidad.txt,5,1200,1144,56,4.66667,66.6
FIFO,data/larga_secuencial.txt,5,1200,0,1200,100,94.2
LRU,data/larga_secuencial.txt,5,1200,0,1200,100,169.1
OPTIMO,data/larga_secuencial.txt,5,1200,250,950,79.1667,205.2
FIFO,data/larga_aleatoria.txt,5,1200,296,904,75.3333,140.6
LRU,data/larga_aleatoria.txt,5,1200,286,914,76.1667,187.9
OPTIMO,data/larga_aleatoria.txt,5,1200,613,587,48.9167,118.4
FIFO,data/larga_localidad.txt,5,1200,1137,63,5.25,50.6
LRU,data/larga_localidad.txt,5,1200,1141,59,4.91667,82.6
OPTIMO,data/larga_localidad.txt,5,1200,1144,56,4.66667,57.3
FIFO,data/larga_secuencial.txt,5,1200,0,1200,100,89.3
LRU,data/larga_secuencial.txt,5,1200,0,1200,100,166.5
OPTIMO,data/larga_secuencial.txt,5,1200,250,950,79.1667,122.9
FIFO,data/larga_aleatoria.txt,5,1200,296,904,75.3333,93.1
LRU,data/larga_aleatoria.txt,5,1200,286,914,76.1667,155.3
OPTIMO,data/larga_aleatoria.txt,5,1200,613,587,48.9167,118.2
FIFO,data/larga_localidad.txt,5,1200,1137,63,5.25,50.5
LRU,data/larga_localidad.txt,5,1200,1141,59,4.91667,57.9
OPTIMO,data/larga_localidad.txt,5,1200,1144,56,4.66667,59
FIFO,data/larga_secuencial.txt,5,1200,0,1200,100,148.4
LRU,data/larga_secuencial.txt,5,1200,0,1200,100,276.4
OPTIMO,data/larga_secuencial.txt,5,1200,250,950,79.1667,205.6
FIFO,data/larga_aleatoria.txt,5,1200,296,904,75.3333,99.7
LRU,data/larga_aleatoria.txt,5,1200,286,914,76.1667,161.3
OPTIMO,data/larga_aleatoria.txt,5,1200,613,587,48.9167,128.9
FIFO,data/larga_localidad.txt,5,1200,1137,63,5.25,49.3
LRU,data/larga_localidad.txt,5,1200,1141,59,4.91667,56.3
OPTIMO,data/larga_localidad.txt,5,1200,1144,56,4.66667,57.3
FIFO,data/larga_secuencial.txt,5,1200,0,1200,100,88.5
LRU,data/larga_secuencial.txt,5,1200,0,1200,100,156.1
OPTIMO,data/larga_secuencial.txt,5,1200,250,950,79.1667,121.2
FIFO,data/larga_aleatoria.txt,5,1200,296,904,75.3333,95.4
LRU,data/larga_aleatoria.txt,5,1200,286,914,76.1667,155.5
OPTIMO,data/larga_aleatoria.txt,5,1200,613,587,48.9167,116.4
